School ID,School Name,ZIP,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year
610212,Albany Park Multicultural Academy,60625,0,Scantron,Above Average,69.90%,,,,,65.50%,67.70%,66.70%,,,,,79.10%,67.70%,73.20%,Above Average,67.60%,,,,,59%,56%,57.40%,,,,,78.60%,76.80%,77.70%,,65%,,,,66.10%,,73.40%,,,,72.10%,Well-organized,Neutral,Strong,Strong,Neutral,Strong,Strong,50%,,3.9,,97%,96.60%,96.90%,96.10%,No,No,
610216,John A Walsh Elementary School,60608,0,Scantron,Far Above Average,72.50%,62%,76.80%,71.90%,94.70%,64.30%,59.50%,71.40%,63.80%,81.80%,67.60%,92.30%,74.40%,60%,73.50%,Above Average,56.10%,38.50%,50%,41%,80%,63.60%,46.50%,52.60%,38.50%,68.40%,48.80%,84.60%,68.90%,51.20%,59.60%,,71.70%,,56.30%,,71.90%,,74.20%,,63.90%,,74%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,47.40%,61.50%,3.4,4.3,95.10%,94.80%,95.30%,96.40%,Yes,No,
610217,James Ward Elementary School,60616,0,NWEA,Far Above Average,72.80%,70.30%,72.10%,56.40%,61.50%,75%,73.20%,67.90%,94.60%,67.40%,56.40%,76.90%,87.50%,85.40%,77.80%,Above Average,68.90%,59.50%,56.30%,58.50%,63.60%,73.20%,69%,63.30%,70.30%,68.80%,56.10%,78.20%,92.70%,81%,74.60%,61.70%,68.80%,,,67.60%,68.70%,70%,68.80%,,,83.80%,78%,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Strong,,45.80%,,1.5,97.80%,97.70%,96.90%,96.70%,Pending,No,
610218,Joseph Warren Elementary School,60617,0,Scantron,Average,51.30%,53.10%,60.90%,69.70%,58.80%,43.80%,35%,52.60%,46.90%,59.10%,62.50%,73.50%,37.50%,26.30%,50%,Far Below Average,26.90%,23.50%,43.50%,20.60%,22.90%,17.90%,31%,25.60%,22.90%,40.90%,27.30%,25.70%,33.30%,24.40%,28.30%,52.70%,,,,,52.10%,50.50%,,,,,49.50%,Not Yet Organized,Weak,Weak,Neutral,Weak,Weak,Weak,95.90%,77.90%,2.6,2.5,95%,94.30%,95.30%,94.50%,No,No,
610219,George Washington Elementary School,60617,0,NWEA,Far Above Average,76.30%,65.80%,74.60%,68.10%,77%,71%,75.80%,71.80%,84.40%,82.10%,64.80%,81.10%,88.20%,82.10%,80.50%,Above Average,57.80%,59.50%,60.30%,55.40%,56.50%,61.40%,66.70%,59.90%,47.50%,50%,46.60%,62.70%,64.30%,64.60%,55.90%,,71.30%,83.90%,76.30%,,72.40%,,80.70%,81.30%,73.70%,,80.30%,Organized,Strong,Weak,Neutral,Strong,Neutral,Neutral,19%,26.50%,2.3,2.8,95.50%,94.30%,95.90%,96.30%,Yes,No,
610220,Thomas J Waters Elementary School,60625,0,Scantron,Above Average,60.30%,62.20%,58%,40.40%,67.70%,54.80%,63%,57.70%,71.10%,76%,61.20%,41.90%,62.50%,51.10%,62.80%,Above Average,57.90%,71.10%,62.30%,48%,46.90%,53.10%,63%,59.50%,55.30%,64.20%,64%,34.40%,53.10%,57.40%,56.20%,,50%,66.70%,,51.50%,55.60%,,58%,70.50%,48.50%,48.60%,58.50%,Well-organized,Very Strong,Neutral,Strong,Strong,Strong,Strong,,,,,96.10%,96.10%,95.10%,96.20%,No,No,
610221,Daniel Webster Elementary School,60624,0,Scantron,Above Average,58.10%,55.60%,43.30%,65.50%,90%,31%,53.10%,56.50%,77.80%,41.40%,69%,72.40%,37.90%,56.30%,59.80%,Below Average,34.60%,30.80%,23.30%,36.70%,48.40%,6.70%,18.80%,27.60%,28.20%,36.70%,53.30%,53.30%,27.60%,53.10%,41.60%,56.50%,,,,,56.50%,59.80%,,,,,59.80%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,100%,,3.2,,94.80%,93%,97.20%,97.60%,No,No,
610223,Daniel S Wentworth Elementary School,60621,6,Scantron,Above Average,61.10%,42.90%,54.50%,51.70%,69.70%,65.20%,68.60%,59.40%,34.50%,66.70%,62.10%,70%,63.20%,79.40%,63%,Below Average,30.90%,6.10%,17.40%,20.70%,25%,20%,34.30%,21%,6.30%,39.10%,55.20%,20.60%,54.50%,74.30%,41.10%,60%,,,,,59.30%,62.90%,,,,,62.90%,Moderately Organized,Neutral,Strong,Strong,Weak,Weak,Neutral,59.80%,87.30%,2.5,3.1,91.60%,89.90%,95.90%,95.50%,No,No,
610224,West Pullman Elementary School,60628,6,Scantron,Above Average,59.10%,77.50%,39.10%,51.70%,34.60%,40%,68.20%,53.10%,82.90%,56.50%,63%,56%,57.10%,65.20%,65.30%,Below Average,32.30%,65.90%,25.90%,25.80%,13.30%,20.50%,26.10%,31.40%,59.50%,16%,17.20%,14.30%,31.30%,50%,33.30%,53.40%,,,,,52.90%,65.70%,,,,,65.60%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Very Weak,80.80%,,6.5,,91.20%,90.70%,93.80%,94.30%,No,No,
610225,John Whistler Elementary School,60643,6,Scantron,Average,49%,37.80%,44.40%,41.70%,43.80%,48.60%,58.80%,45.80%,48.60%,63%,41.20%,59.40%,48.60%,55.90%,52.20%,Below Average,31.90%,18.40%,20.70%,32.40%,21.90%,29.70%,40%,27.40%,23.70%,44.80%,42.90%,34.40%,29.70%,45.70%,36.40%,45.80%,,,30.30%,,44.90%,52.20%,,,42.40%,,50.50%,Not Yet Organized,Weak,Neutral,Neutral,Very Weak,Weak,Neutral,46.70%,83.30%,2.1,2,92.40%,90.80%,97%,95.10%,No,No,
610226,Socorro Sandoval Elementary School,60629,0,Scantron,Above Average,59.60%,52.60%,52.70%,51.20%,,,,52.20%,77.50%,65.80%,57.40%,,,,67%,Below Average,43.20%,24%,35.80%,27.90%,,,,28.90%,50%,62.30%,60.80%,,,,57.40%,,52.80%,,,53%,52%,,67.60%,,,61.30%,67%,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,25%,60%,4.3,4.3,95.80%,95.60%,96.50%,96%,No,No,
610227,Eli Whitney Elementary School,60623,0,Scantron,Below Average,42.10%,58.80%,38.50%,45.60%,37.20%,50.70%,49.50%,46.60%,52.60%,18.40%,43.30%,36.70%,23.90%,47.20%,37.50%,Below Average,34.20%,25.30%,22.80%,31.50%,37.50%,46.10%,40%,33.10%,31.30%,18.20%,46.30%,30%,45.80%,41.60%,35.30%,,46.60%,,24.20%,39.20%,46.70%,,37.40%,,30.60%,29.60%,37.40%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,32.90%,48.90%,1.9,2.2,95.80%,94.50%,95.20%,95.40%,Yes,No,
610228,John Greenleaf Whittier Elementary School,60608,2,Scantron,Average,49.20%,37%,66.70%,44.80%,54.50%,42.90%,44%,47.40%,44.40%,72.70%,33.30%,72.70%,48.10%,44%,51%,Below Average,39.20%,25.90%,27.30%,19.40%,31.80%,53.60%,32%,31.60%,11.10%,72.70%,53.10%,59.10%,46.40%,44%,46.80%,,47.70%,,,44.60%,47.30%,,50.70%,,,50.90%,51.70%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,72.20%,18.80%,1.4,2.6,94.90%,94%,96.50%,96%,No,No,
610229,A.N. Pritzker School,60622,0,Scantron,Above Average,61.10%,43.30%,40%,66.70%,79.70%,60.90%,67.60%,60.40%,51.40%,68.30%,62.30%,73.90%,67.70%,47.60%,61.80%,Above Average,65.40%,51.40%,58.30%,62.90%,74%,65.30%,68%,63.60%,43.10%,73.80%,69.40%,78.70%,74.60%,64.90%,67.20%,57.70%,63.60%,61.30%,44.40%,,63%,62.30%,54.70%,73.10%,53.30%,,60.40%,Well-organized,Strong,Neutral,Strong,Neutral,Strong,Strong,37.60%,39.20%,2.6,3.2,94.60%,94.10%,95.60%,94.60%,No,No,
610230,Wildwood Elementary School,60646,0,NWEA,Far Above Average,70.40%,49%,54.50%,75.50%,88.60%,90%,87.90%,71.40%,53.80%,64.30%,91.70%,65.90%,78.60%,66.70%,69.40%,Far Above Average,80.60%,74.50%,67.90%,86%,93.30%,93.30%,84.80%,81.80%,77.20%,71.90%,90%,77.80%,75.90%,85.30%,79.40%,,64.60%,74.40%,78.10%,,62.20%,,61.80%,74%,60.60%,,65.70%,Well-organized,Very Strong,Very Strong,Very Strong,Neutral,Neutral,Very Strong,,,,,96.20%,96%,95.70%,95.50%,Yes,No,
610231,National Teachers Elementary Academy,60616,0,NWEA,Above Average,56.80%,70.30%,48.90%,66.70%,42.20%,50%,54.20%,55%,70%,38.60%,64.90%,62.20%,64.50%,51.90%,58.50%,Below Average,39.40%,62.20%,40.80%,26.20%,46.70%,32.40%,39.30%,42%,50%,42.60%,34.10%,42.20%,22.90%,17.90%,36.80%,54.70%,,,45.50%,,54.70%,57.70%,,,63.90%,,57.60%,Organized,Neutral,Strong,Neutral,Neutral,Neutral,Very Strong,90.50%,73.80%,2.1,2.3,94.70%,94.90%,96.30%,96.90%,No,No,
610232,Williams Multiplex Elementary School,60616,5,Scantron,Below Average,36.90%,45%,23.70%,31.80%,,,,34%,51.30%,37.80%,22.70%,,,,39.80%,Far Below Average,16.50%,18.20%,16.70%,16.70%,,,,17.30%,17.10%,9.50%,24%,,,,15.70%,34.70%,,,,,32.30%,38.50%,,,,,39.60%,Not Yet Organized,Weak,Not Enough Data,Not Enough Data,Weak,Very Weak,Not Enough Data,74.40%,61.80%,1.2,2,91.60%,92.20%,95.90%,95.60%,Pending,No,
610233,Elihu Yale Elementary School,60621,10,Scantron,Below Average,36.50%,15%,54.50%,42.10%,44.40%,55.60%,54.50%,42.30%,30%,28.60%,5.30%,55.60%,42.10%,23.10%,31.10%,Far Below Average,22.20%,9.50%,20%,23.80%,20%,22.70%,16.70%,18.90%,5%,25%,34.80%,25%,40.90%,15.40%,25.40%,42.30%,,,,,42.70%,31.10%,,,,,31.40%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,75.70%,83.60%,2.6,2.9,89.70%,90.90%,97%,95%,No,No,
610234,Richard Yates Elementary School,60647,4,Scantron,Above Average,56%,63%,50%,48.80%,47.20%,54.70%,80%,56.80%,53.50%,49.10%,61.90%,43.60%,58%,70.50%,55.30%,Below Average,40.70%,37.50%,27.60%,23.90%,19.30%,42.60%,47.80%,32.70%,37.50%,43.10%,60%,53.40%,50.90%,47.80%,48.70%,52.40%,57.30%,,38.80%,40%,56.70%,55.30%,55.90%,,45.70%,56.70%,54.90%,Organized,Neutral,Strong,Strong,Neutral,Neutral,Neutral,46.80%,57.10%,2.1,2.3,93.70%,92.60%,96.20%,96.30%,No,No,
610235,Ella Flagg Young Elementary School,60651,0,Scantron,Average,46.70%,36.10%,48.80%,45.90%,40.50%,51.50%,54.70%,46.40%,35.20%,46.70%,47.70%,45.20%,66.70%,39.10%,46.90%,Far Below Average,28.90%,24.20%,27.80%,21.60%,24.80%,34.80%,37.50%,28.70%,14.40%,26.30%,21.70%,26.30%,54.10%,30.10%,29.10%,45.90%,55.90%,,35.60%,,46.60%,47.20%,48.50%,,49%,,47.10%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Weak,53.50%,50.90%,3.5,6.1,94.30%,94.30%,95.40%,95.90%,No,No,
610237,Ludwig Van Beethoven Elementary School,60609,2,Scantron,Average,46.50%,60%,34.60%,44.70%,42.20%,48.80%,51.70%,47.20%,60%,38.50%,2.70%,47.70%,61.40%,65.50%,45.70%,Far Below Average,23.90%,40%,7.40%,10.30%,18.80%,21.70%,24.10%,20.50%,23.30%,7.40%,10.50%,35.40%,29.80%,55.20%,27.40%,47.90%,,,26.50%,,47%,45.90%,,,36.40%,,45.50%,Well-organized,Strong,Strong,Very Strong,Very Strong,Very Strong,Neutral,47.40%,45.90%,3.1,2,93.70%,94.40%,94.70%,92.60%,No,No,
610238,Carrie Jacobs Bond Elementary School,60621,6,Scantron,Average,47.60%,47.60%,31%,53.80%,36.40%,66.70%,61.50%,48.20%,33.30%,50%,53.60%,50%,50%,46.20%,47%,Far Below Average,26.80%,17.90%,21.90%,6.90%,16%,25%,40%,21.30%,22.60%,21.20%,46.70%,21.40%,37.50%,46.70%,32.10%,48.60%,,,,,47.80%,46.70%,,,,,46.70%,Well-organized,Strong,Strong,Very Strong,Strong,Strong,Strong,88.40%,73.30%,3.8,3.6,91.70%,91.60%,94.30%,95.40%,Pending,No,
610239,Richard J Daley Elementary Academy,60609,0,Scantron,Average,47.20%,40.80%,40.70%,31.30%,50%,53.30%,54.30%,45.50%,50.70%,60%,34.90%,50.70%,45.80%,51.30%,48.90%,Below Average,35.90%,18.10%,14.30%,15.60%,32.90%,34.40%,28.90%,24.50%,20.80%,48.20%,53.10%,58.30%,60.30%,46.80%,47.50%,48.30%,44.70%,,,25%,45.80%,55.20%,48%,,,46.50%,48.60%,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Weak,31.40%,24%,1.7,1.3,94.90%,94.40%,96%,94.90%,Yes,No,
610240,Matthew A Henson Elementary School,60623,6,Scantron,Below Average,44.90%,18.50%,40.90%,56%,45.80%,38.90%,60.60%,44.30%,23.10%,22.70%,24%,54.20%,70.60%,75.80%,45.60%,Far Below Average,15.30%,7.10%,16.70%,11.10%,12%,13.60%,34.30%,16.80%,3.60%,4.20%,11.10%,20%,28.60%,17.60%,13.80%,44.30%,,,33.30%,,44.60%,45.60%,,,46.70%,,45.90%,Not Yet Organized,Weak,Neutral,Very Weak,Neutral,Weak,Weak,71.10%,73.60%,3.4,2,90.90%,89.50%,95.70%,96.70%,Yes,No,
610241,Guglielmo Marconi Elementary Community Academy,60624,6,Scantron,Far Above Average,73.40%,60%,68.40%,88.20%,52.20%,57.90%,73.10%,66.40%,66.70%,94.40%,88.90%,60%,76.50%,92.30%,80.70%,Below Average,38.10%,35.30%,30%,25%,32%,43.50%,39.30%,34.60%,31.60%,65%,25%,28%,47.80%,50%,41.50%,66.40%,,,,,66.90%,80.70%,,,,,80.50%,Organized,Weak,Neutral,Strong,Neutral,Strong,Very Weak,60.80%,43%,3.5,2.4,91.50%,89.40%,96.50%,95.30%,No,No,
610242,Joseph Brennemann Elementary School,60613,0,Scantron,Average,48.70%,52%,53.80%,34.30%,59.30%,59.10%,44%,49.40%,46.20%,36%,50%,60.70%,65%,32%,48.10%,Below Average,38.50%,44.80%,30.80%,23.70%,39.30%,44%,40.70%,36.40%,26.70%,14.30%,37.10%,46.70%,73.10%,50%,40.60%,53.40%,,,,46.50%,49%,49.60%,,,,56.10%,47.30%,Partially Organized,Weak,Strong,Neutral,Weak,Weak,Neutral,33.70%,52.20%,3.9,3.9,96.50%,94.40%,97.70%,98.20%,No,No,
610243,John Calhoun North Elementary School,60612,0,Scantron,Above Average,60.60%,58.30%,60%,51.70%,48.50%,50%,89.70%,59.40%,88%,57.10%,66.70%,44.10%,53.30%,69%,61.70%,Average,45.70%,44%,48.60%,37.50%,21.60%,36.70%,48.40%,39.10%,69.20%,51.40%,39.40%,34.20%,63.30%,64.50%,52.30%,59.60%,,,54.20%,,59.80%,61.30%,,,65.30%,,61.50%,Moderately Organized,Weak,Not Enough Data,Not Enough Data,Neutral,Strong,Not Enough Data,100%,96%,2.4,2.1,95.90%,94.10%,96.50%,95.10%,No,No,
610246,Edward Beasley Elementary Magnet Academic Center,60609,0,Scantron,Average,51.10%,47.70%,47.70%,52.30%,60.30%,59.30%,65.10%,55.20%,44.40%,50.80%,33%,39.40%,55%,59.80%,46.80%,Average,48%,43.20%,43.40%,43.40%,48.60%,70.80%,62.60%,51.60%,29.50%,44.80%,38.60%,36.60%,59.50%,57.80%,44.30%,55.30%,,,32.40%,,56%,46.20%,,,36.70%,,46.70%,Partially Organized,Neutral,Weak,Neutral,Neutral,Neutral,Neutral,74.70%,59%,2.9,2.2,95%,94.30%,94.70%,95.40%,No,No,
610248,Chicago Academy Elementary School,60634,0,NWEA,Above Average,65.60%,73.60%,69.20%,67.60%,57.10%,54.40%,67.30%,64.50%,71.70%,64.80%,53.80%,65.50%,70.20%,73.60%,66.70%,Above Average,61.40%,40%,58.20%,75%,57.10%,72.40%,71.90%,61.80%,60%,59.60%,58.90%,53.30%,70.70%,63.60%,61%,63.30%,64.60%,65.40%,66.70%,,63.80%,68.80%,61.90%,74.20%,62.90%,63.30%,65.20%,Organized,Strong,Neutral,Neutral,Strong,Neutral,Strong,30.60%,41.50%,2,2.4,96.30%,96.30%,96.10%,96.30%,No,No,
610249,Talman Elementary School,60632,0,NWEA,Above Average,63.20%,46.20%,54.50%,71.40%,65.20%,75.90%,70%,63.50%,46.20%,72.70%,60.70%,73.90%,62.10%,60%,62.90%,Average,48%,28.60%,41.20%,46.90%,68%,70%,75%,53.80%,25%,26.50%,34.40%,68%,53.30%,54.20%,42.20%,,63.90%,,,59.20%,64.70%,,62.70%,,,63.30%,62.70%,Well-organized,Very Strong,Very Strong,Strong,Very Strong,Very Strong,Very Strong,18.20%,17.10%,1.8,1.9,96.20%,93.70%,95.50%,94.30%,No,No,
610250,Rueben Salazar Elementary Bilingual Center,60610,0,NWEA,Above Average,56%,62.70%,33.30%,75%,51.10%,67.70%,50%,56.60%,57.10%,47.40%,67.70%,41.30%,63.90%,62.50%,55.40%,Average,53.40%,42.30%,36.80%,66.70%,68.80%,57.60%,50%,53.60%,57.70%,36.80%,61.80%,61.20%,55.30%,38.50%,53.20%,43.20%,59%,,53.70%,68%,56.60%,55.60%,55.40%,,60%,65.30%,54.40%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,16.10%,33.70%,2.1,3.9,95.10%,95.40%,95.80%,97.10%,No,No,
610251,Willa Cather Elementary School,60612,0,Scantron,Above Average,62.10%,50%,40%,69.60%,42.30%,72.70%,66.70%,56.30%,73.10%,90%,78.30%,57.70%,45.50%,64.70%,67.90%,Below Average,42.90%,19.20%,22.70%,30.40%,19.20%,47.80%,45%,30%,46.20%,63.60%,78.30%,46.20%,47.80%,55%,55.70%,56.40%,,,48.40%,,56%,67.40%,,,71%,,67.70%,Organized,Neutral,Strong,Neutral,Neutral,Strong,Neutral,60.20%,79.10%,1.7,2.4,94.90%,94.80%,96.40%,95.20%,No,No,
610252,Robert Nathaniel Dett Elementary School,60612,0,Scantron,Below Average,41.10%,33.30%,52.40%,50%,45%,23.80%,43.30%,41.90%,13.30%,47.60%,40.90%,60%,38.10%,36.70%,40.30%,Far Below Average,28.20%,17.60%,9.10%,9.10%,23.80%,33.30%,23.30%,19.50%,17.60%,18.20%,31.80%,47.60%,52.40%,46.70%,36.80%,41.70%,,,,,41.70%,40.20%,,,,,40.20%,Well-organized,Strong,Strong,Strong,Strong,Strong,Neutral,78.90%,94.40%,4.1,3.5,94.40%,91.10%,94.80%,93.40%,No,No,
610254,Dvorak Technology Academy,60623,6,Scantron,Below Average,31.30%,15.50%,33.30%,28.60%,47.10%,58.20%,39%,37.50%,17.90%,25%,25%,23.50%,42.10%,14.60%,25.30%,Far Below Average,18.70%,8.20%,24.30%,12.90%,20.40%,35.10%,41.90%,23.70%,5.30%,21.40%,17.10%,1.90%,16.90%,25.60%,13.80%,38.10%,,,22.50%,,37%,25.40%,,,30.20%,,24.80%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,58.50%,50%,3.8,3.5,94.20%,93%,95.40%,94.50%,No,No,
610256,Jackie Robinson Elementary School,60653,4,NWEA,Below Average,39.60%,30.80%,,,,,,30.80%,48.10%,,,,,,48.10%,Far Below Average,4.80%,3.20%,,,,,,3.20%,6.30%,,,,,,6.30%,,,,,,,,,,,,,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,19.90%,35.80%,2,1.7,90.50%,89.80%,93.80%,92.70%,Yes,No,
610257,Morton School of Excellence,60612,9,NWEA,Above Average,69.10%,44.40%,44.40%,88.50%,60.70%,75%,56.10%,61.30%,74.10%,81.50%,77.80%,78.60%,71.90%,77.50%,76.80%,Average,47.60%,36.70%,35.70%,60.70%,31.30%,50%,46.50%,43.70%,53.30%,57.10%,71.40%,28.10%,50%,52.40%,51.50%,61.60%,,,,,60.90%,77.40%,,,,,76.50%,Well-organized,Neutral,Strong,Strong,Strong,Strong,Neutral,94.20%,100%,1.8,1.9,93.60%,93.70%,97.10%,97.50%,Yes,No,
610263,John Foster Dulles Elementary School,60637,6,NWEA,Above Average,62.20%,71.20%,58.10%,62.50%,53.20%,65.20%,59.30%,61.90%,73.40%,66.70%,56%,58.50%,58.30%,50%,62.40%,Far Below Average,19.80%,17.90%,27.70%,24.50%,18%,16%,25%,21.50%,22.20%,21.20%,13.70%,14.90%,23.10%,12.50%,18.20%,62.40%,,,59%,,61.80%,62.50%,,,86.10%,,62.20%,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Weak,57%,75.40%,3.2,2.9,94.10%,94.10%,97.30%,97.20%,No,No,
610265,Benjamin Banneker Elementary School,60621,6,Scantron,Below Average,43%,16.70%,22.20%,43.50%,50%,60.90%,44%,39.30%,43.50%,40.70%,39.10%,62.10%,39.10%,52%,46.70%,Far Below Average,26.40%,13.30%,10.30%,12%,20%,41.70%,44.40%,23%,20.70%,27.60%,28%,13.30%,45.80%,48.10%,29.90%,39.30%,,,,,39.30%,46.30%,,,,,46.70%,Organized,Not Enough Data,Strong,Strong,Not Enough Data,Not Enough Data,Neutral,60.20%,62.80%,2.2,1.8,91.30%,91.10%,93.90%,94.50%,No,No,
610266,Dumas Technology Academy,60637,6,Scantron,Below Average,40.80%,44.10%,21.60%,54.50%,40%,46.40%,34.60%,39.90%,33.30%,32.40%,48.60%,34.50%,61.50%,45%,41.60%,Far Below Average,18.90%,19.40%,7.70%,33.30%,18.20%,20%,30.60%,21.40%,15.80%,15.40%,25%,6.10%,20.70%,14.70%,16.40%,40.30%,,,30%,,40.10%,42.10%,,,51.30%,,41.80%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Weak,73.70%,85.80%,2.5,2.7,92.50%,91.60%,95.60%,96%,No,No,
610268,Arthur R Ashe Elementary School,60619,6,Scantron,Below Average,41.60%,32%,35.90%,35%,37.50%,44.40%,41.70%,38.30%,11.50%,41.30%,33.30%,53.80%,60.50%,58.10%,44.90%,Far Below Average,25.40%,10.50%,20%,11.10%,10.30%,39%,18.40%,18.90%,5.60%,26.50%,11.50%,36.10%,44.20%,60.50%,32%,38.50%,,,,,38.30%,44.60%,,,,,44.40%,Organized,Not Enough Data,Strong,Very Strong,Not Enough Data,Not Enough Data,Weak,81.30%,67.90%,3.3,3.2,87.90%,89.70%,93.40%,94.50%,No,No,
610269,John T McCutcheon Elementary School,60640,0,Scantron,Average,52.70%,47.40%,57.60%,59.50%,57.90%,54.80%,57.90%,55.50%,53.80%,54.50%,48.80%,21.10%,60.60%,47.40%,50%,Below Average,42.80%,41.50%,47.20%,31%,35%,36.10%,47.60%,39.30%,29.50%,50%,46.50%,50%,50%,63.60%,46.30%,52.20%,51.40%,,36.40%,60.50%,55%,43.50%,55.30%,,37.10%,59.50%,50.50%,Not Yet Organized,Weak,Not Enough Data,Not Enough Data,Weak,Weak,Not Enough Data,50%,48.40%,2,1.4,94%,93.30%,94.80%,95.80%,No,No,
610271,Jensen Elementary Scholastic Academy,60612,0,Scantron,Above Average,62.40%,56.30%,74.40%,75%,41.20%,56.10%,73.30%,62.70%,76.50%,66.70%,88.60%,60%,41.70%,33.30%,62.10%,Average,53.30%,31.60%,38.50%,52.60%,11.10%,61.90%,66.70%,43.50%,50%,56.40%,92.10%,52.80%,67.50%,59.30%,63.30%,62.90%,,,,,62.40%,61.80%,,,,,63.20%,Not Yet Organized,Very Weak,Not Enough Data,Not Enough Data,Weak,Weak,Not Enough Data,82.70%,78.40%,2,1.7,93.10%,93.10%,95.30%,94.50%,No,No,
610273,Ignance Paderewski Elementary Learning Academy,60623,6,Scantron,Average,54.50%,,40%,35.70%,80%,53.80%,56.30%,54%,40%,55%,50%,56.30%,53.30%,68.80%,54.90%,Far Below Average,24.60%,40%,23.80%,0%,12.50%,18.80%,38.90%,22.10%,10%,38.10%,21.40%,23.50%,25%,33.30%,27.10%,57.10%,,,,,54%,54.10%,,,,,54.90%,Organized,Not Enough Data,Strong,Strong,Not Enough Data,Not Enough Data,Neutral,92.90%,95.70%,3.1,2.7,92.10%,91.50%,95.20%,95%,No,No,
610274,James Weldon Johnson Elementary School,60623,9,NWEA,Above Average,60.40%,32%,39.30%,65.20%,66.70%,64.30%,57.70%,54.40%,65.50%,60.70%,60.90%,73.30%,77.80%,57.70%,66.30%,Far Below Average,28.20%,22.20%,40%,35.70%,21.20%,46.90%,35.70%,33.70%,20%,23.30%,14.30%,18.20%,25.80%,35.70%,22.80%,54.40%,,,,,54.40%,65.80%,,,,,66.30%,Moderately Organized,Weak,Neutral,Neutral,Neutral,Strong,Neutral,,82.10%,,3.5,94.70%,94.80%,97.50%,96.50%,Yes,No,
610276,Irvin C Mollison Elementary School,60653,5,Scantron,Average,45%,22.20%,48.30%,46.20%,58.30%,66.70%,44%,45.90%,20%,41.40%,50%,36%,55.60%,66.70%,44.10%,Far Below Average,25.80%,18.50%,19.40%,14.30%,25.90%,38.90%,25.90%,22.80%,17.90%,32.30%,22.20%,33.30%,42.90%,26.90%,28.80%,45.90%,,,,,45.10%,44.10%,,,,,44.10%,Partially Organized,Neutral,Weak,Weak,Neutral,Neutral,Neutral,98.90%,96%,2.5,1.8,91.10%,93.20%,94.30%,95.10%,Pending,No,
610277,Anthony Overton Elementary School,60615,6,Scantron,Below Average,36.10%,30.40%,30%,36.40%,35.50%,44.40%,33.30%,34.60%,31.30%,50%,39.40%,41.90%,42.30%,16.70%,37.60%,Far Below Average,17.60%,20.40%,16.70%,23.50%,18.80%,13.30%,13.60%,18.30%,18%,16.70%,29.40%,15.60%,13.80%,0%,16.90%,33.90%,,,,,34.80%,37.60%,,,,,36.90%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,87.90%,80.80%,3.9,3.5,90.50%,90%,94.90%,95.30%,No,No,
